edge_id,source,destination,distance,travel_time,speed_limit,road_type,direction,congestion_level,risk_level,total_cost
3,1,2,2387.2,4.77,50,primary,two_way,3,0,2.74
2,1,17,1247.9,1.87,50,primary,two_way,2,0,1.2
1,1,25,1192.63,2.39,50,primary,two_way,3,0,1.43
4,2,1,2387.2,4.77,50,primary,two_way,3,0,2.74
5,2,17,3337.34,5.56,60,trunk,two_way,3,1,3.38
6,3,6,678.5,2.54,40,secondary,two_way,4,0,1.38
8,3,10,5368.8,13.42,60,trunk,two_way,4,1,7.17
7,3,11,990.93,2.48,40,secondary,two_way,3,0,1.41
10,4,13,3761.98,9.4,60,trunk,two_way,4,2,5.12
9,4,14,1975.36,5.93,50,primary,two_way,4,1,3.16
12,5,6,714.63,2.14,50,primary,two_way,4,0,1.23
11,5,13,228.16,0.91,25,residential,two_way,3,0,0.55
13,6,3,678.5,2.54,40,secondary,two_way,4,0,1.38
14,6,5,714.63,2.14,50,primary,two_way,4,0,1.23
15,6,11,1192.65,2.98,40,secondary,two_way,3,0,1.67
16,6,12,1506.72,3.01,50,primary,two_way,3,0,1.78
17,6,13,911.85,3.42,40,secondary,two_way,4,0,1.8
19,7,19,1533.32,4.6,50,primary,two_way,4,1,2.49
18,7,21,1484.84,4.45,50,primary,two_way,4,1,2.42
20,8,20,1322.83,3.97,50,primary,two_way,4,1,2.18
21,8,21,1402.79,4.21,50,primary,two_way,4,1,2.3
22,8,22,2034.84,4.07,50,primary,two_way,3,1,2.39
23,9,19,1215.85,3.65,50,primary,two_way,4,1,2.02
24,9,20,1507.01,4.52,50,primary,two_way,4,1,2.45
26,10,3,5368.8,13.42,60,trunk,two_way,4,1,7.17
25,10,11,5305.47,8.84,60,trunk,two_way,3,1,5.28
27,11,3,990.93,2.48,40,secondary,two_way,3,0,1.41
29,11,6,1192.65,2.98,40,secondary,two_way,3,0,1.67
28,11,10,5305.47,8.84,60,trunk,two_way,3,1,5.28
31,12,6,1506.72,3.01,50,primary,two_way,3,0,1.78
30,12,23,1011.87,2.02,50,primary,two_way,3,0,1.23
32,13,4,3761.98,9.4,60,trunk,two_way,4,2,5.12
33,13,5,228.16,0.91,25,residential,two_way,3,0,0.55
34,13,6,911.85,3.42,40,secondary,two_way,4,0,1.8
35,13,14,3865.15,9.66,60,trunk,two_way,4,2,5.25
36,14,4,1975.36,5.93,50,primary,two_way,4,1,3.16
37,14,13,3865.15,9.66,60,trunk,two_way,4,2,5.25
38,15,24,1754.28,5.26,50,primary,two_way,4,0,2.79
40,16,17,1896.19,3.79,50,primary,two_way,3,0,2.2
39,16,24,1484.69,4.45,50,primary,two_way,4,0,2.39
41,17,1,1247.9,1.87,50,primary,two_way,2,0,1.2
42,17,2,3337.34,5.56,60,trunk,two_way,3,1,3.38
43,17,16,1896.19,3.79,50,primary,two_way,3,0,2.2
44,17,25,714.61,1.79,40,secondary,two_way,3,0,1.05
45,18,22,2026.35,4.05,50,primary,two_way,3,1,2.38
46,18,25,3768.01,9.42,60,trunk,two_way,4,2,5.13
47,19,7,1533.32,4.6,50,primary,two_way,4,1,2.49
48,19,9,1215.85,3.65,50,primary,two_way,4,1,2.02
49,19,20,718.22,2.69,40,secondary,two_way,4,1,1.48
50,19,21,1011.87,3.04,50,primary,two_way,4,1,1.71
51,20,8,1322.83,3.97,50,primary,two_way,4,1,2.18
52,20,9,1507.01,4.52,50,primary,two_way,4,1,2.45
53,20,19,718.22,2.69,40,secondary,two_way,4,1,1.48
54,20,21,607.92,2.28,40,secondary,two_way,4,1,1.29
55,21,7,1484.84,4.45,50,primary,two_way,4,1,2.42
56,21,8,1402.79,4.21,50,primary,two_way,4,1,2.3
57,21,19,1011.87,3.04,50,primary,two_way,4,1,1.71
58,21,20,607.92,2.28,40,secondary,two_way,4,1,1.29
60,22,8,2034.84,4.07,50,primary,two_way,3,1,2.39
59,22,18,2026.35,4.05,50,primary,two_way,3,1,2.38
61,23,12,1011.87,2.02,50,primary,two_way,3,0,1.23
62,23,24,1879.19,5.64,50,primary,two_way,4,0,2.98
65,24,15,1754.28,5.26,50,primary,two_way,4,0,2.79
63,24,16,1484.69,4.45,50,primary,two_way,4,0,2.39
64,24,23,1879.19,5.64,50,primary,two_way,4,0,2.98
66,25,1,1192.63,2.39,50,primary,two_way,3,0,1.43
67,25,17,714.61,1.79,40,secondary,two_way,3,0,1.05
68,25,18,3768.01,9.42,60,trunk,two_way,4,2,5.13
